Symbol	N5B
A1BG	6.88857470977115
A1BG-AS1	6.20127845776625
A1CF	12.1304123191998
A2M	15.3760171346621
A2M-AS1	7.28188093374683
A4GALT	11.1695562826873
A4GNT	7.18536953420038
AAAS	10.9879881512533
AACS	10.3445725485604
AACSP1	7.05364008638266
AADAT	9.1540322081829
AAED1	8.23490270003044
AAGAB	10.6234066095078
AAK1	13.3315920688697
AAMDC	8.98296768884544
AAMP	12.0764799195005
AANAT	5.04992759263149
AAR2	10.4809156987449
AARD	6.16734705549011
AARS	12.9366081462516
AARS2	10.9286180295317
AASDH	9.90973836261912
AASDHPPT	10.1518585188596
AASS	12.6377419109506
AATBC	7.78985074744406
AATF	11.0775466678489
AATK	9.61265875950755
ABALON	7.83194861149781
ABAT	14.6339297985938
ABCA1	12.6540716563844
ABCA10	9.77493341516683
ABCA11P	7.91267470587868
ABCA12	5.9120254815539
ABCA13	3.57024343839242
ABCA2	12.559578923983
ABCA3	10.3912728496451
ABCA4	7.89196757583582
ABCA5	11.6981978018923
ABCA6	11.0056338221604
ABCA7	10.337829341045
ABCA8	12.1178810522088
ABCA9	10.2845556614608
ABCB1	12.8528184824636
ABCB10	10.2483819393959
ABCB4	8.23490270003044
ABCB6	10.3894316281352
ABCB7	10.5290968239554
ABCB8	11.4164310149796
ABCB9	8.78965491370935
ABCC1	11.5180785309844
ABCC10	11.038350891212
ABCC11	4.90441559057945
ABCC2	13.1978923054045
ABCC3	10.7198113720738
ABCC4	12.3696579283362
ABCC5	11.6884735756388
ABCC6	13.7723908570615
ABCC6P1	10.32733292657
ABCC6P2	8.66502170226243
ABCC8	7.50923723426961
ABCC9	11.0258284298242
ABCD1	10.2431769879896
ABCD2	6.98023266433401
ABCD3	12.2959453442727
ABCD4	12.0748012397402
ABCE1	10.2242392512485
ABCF2	11.0471828905193
ABCF3	11.6121251118095
ABCG1	10.4604618229517
ABCG2	9.379760783517
ABCG5	4.63467478953113
ABCG8	4.82334822994734
ABHD1	7.26686420773858
ABHD10	11.3932982129544
ABHD11	10.2334323531795
ABHD11-AS1	6.42882077687522
ABHD12	11.208512200145
ABHD13	9.18235905251379
ABHD14A	9.81251267972006
ABHD14B	12.5417754209298
ABHD15	11.4437509272368
ABHD16B	8.91354216468624
ABHD17A	10.7400197158032
